date,D. acuminata,D. acuta,D. norvegica
2014-11-17,0,0,0
2014-11-24,0,0,0
2014-12-01,0,0,0
2014-12-08,0,0,0
2015-02-02,0,0,0
2015-02-16,0,0,0
2015-02-23,0,0,0
2015-03-02,0,0,0
2015-03-09,0,0,0
2015-03-16,0,0,0
2015-03-23,0,0,0
2015-04-07,0,0,0
2015-04-13,0,0,0
2015-04-20,0,0,0
2015-04-27,0,0,0
2015-05-04,0,0,0
2015-05-18,0,0,0
2015-05-26,0,0,0
2015-06-01,0,0,0
2015-06-08,0,0,0
2015-06-15,0,0,0
2015-06-22,0,0,0
2015-06-29,0,0,0
2015-07-06,0,0,0
2015-07-13,0,0,0
2015-07-20,0,0,0
2015-07-27,0,0,40
2015-08-03,0,0,0
2015-08-10,0,0,0
2015-08-18,0,0,0
2015-08-31,80,0,120
2015-09-07,0,0,0
2015-09-14,40,0,0
2015-09-21,0,0,0
2015-09-28,0,0,0
2015-10-05,0,0,0
2015-10-12,0,0,0
2015-10-19,0,0,0
2015-10-26,0,0,0
2015-11-09,0,0,0
2015-11-16,0,0,0
2015-11-30,0,0,0
2016-02-08,0,0,0
2016-02-15,0,0,0
2016-02-22,0,0,0
2016-02-29,0,0,0
2016-03-07,0,0,0
2016-03-14,0,0,0
2016-03-29,0,0,0
2016-04-04,0,0,0
2016-04-11,0,0,0
2016-04-18,0,0,0
2016-04-25,0,0,0
2016-05-02,0,0,0
2016-05-09,0,0,0
2016-05-23,0,0,0
2016-05-30,0,0,0
2016-06-06,0,0,0
2016-06-13,0,0,0
2016-06-20,0,0,0
2016-06-27,0,0,0
2016-07-04,0,0,0
2016-07-11,0,0,0
2016-07-18,0,0,0
2016-07-25,0,0,0
2016-08-01,160,0,0
2016-08-08,40,40,0
2016-08-15,0,0,0
2016-08-22,0,0,0
2016-08-29,0,0,0
2016-09-05,0,0,0
2016-09-12,40,0,0
2016-09-19,0,0,0
2016-09-26,0,0,0
2016-10-03,0,0,0
2016-10-17,0,0,0
2016-10-24,0,0,0
2016-10-31,0,0,0
2016-11-07,0,0,40
2016-11-14,0,0,0
2017-02-13,0,0,0
2017-02-20,0,0,0
